,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Report"" for : ANDAMAN AND NICOBAR ISLANDS for year 2024-2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assessment Year,2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top View,DISTRICT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View,admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computation Type,normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.No,STATE,DISTRICT,ASSESSMENT UNIT,Rainfall (mm),,,,Total Geographical Area (ha),,,,,,Ground Water Recharge (ham),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inflows and Outflows (ham),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Annual Ground water Recharge (ham),,,,Environmental Flows (ham),,,,Annual Extractable Ground water Resource (ham),,,,Ground Water Extraction for all uses (ha.m),,,,,,,,,,,,,,,,Stage of Ground Water Extraction (%),,,,Allocation of Ground Water Resource for Domestic Utilisation for projected year 2025 (ham),,,,Net Annual Ground Water Availability for Future Use (ham),,,,Quality Tagging,,,,,,Additional Potential Resources Under Specific Conditions(ham),,,Coastal Areas,,,,In-Storage Unconfined Ground Water Resources(ham),,Total Ground Water Availability in Unconfined Aquifier (ham),,Dynamic Confined Ground Water Resources(ham),,In-Storage Confined Ground Water Resources(ham),,Total Confined Ground Water Resources (ham),,Dynamic Semi Confined Ground Water Resources (ham),,In-Storage Semi Confined Ground Water Resources (ham),,Total Semi-Confined Ground Water Resources (ham),,Total Ground Water Availability in the area (ham),
,,,,,,,,Recharge Worthy Area (ha),,,,Hilly Area,Total,Rainfall Recharge,,,,Canals,,,,Surface Water Irrigation,,,,Ground Water Irrigation,,,,Tanks and Ponds,,,,Water Conservation Structure,,,,Pipelines,,,,Sewages and Flash Flood Channels,,,,C,NC,PQ,Total,Base Flow,,,,Stream Recharges,,,,Lateral Flows,,,,Vertical Flows,,,,Evaporation,,,,Transpiration,,,,Evapotranspiration,,,,C,NC,PQ,Total,,,,,,,,,,,,,Domestic,,,,Industrial,,,,Irrigation,,,,C,NC,PQ,Total,,,,,,,,,,,,,Major Parameter Present,,,Other Parameters Present,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,MEGHALAYA,SOUTH WEST KHASI HILLS,,0,3918,0,3918,0,48537,0,48537,85563,134100,0,14094,0,14094,,,,,0,218,0,218,0,0,0,0,,21,,21,,0,,0,,,,,,,,,0,14333,0,14333,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14333,0,14333,0,1433,0,1433,0,12900,0,12900,,138,,138,,0,,0,,0,,0,,138,,138,,1,,1,0,196,0,196,0,12703,0,12703,,,,,,,0,0,50,,,,,9707,0,22607,0,0,,0,,0,,,,,,,,22607,0
439,MEGHALAYA,WEST GARO HILLS,,0,2678,0,2678,0,127784,0,127784,153316,281100,0,27800,0,27800,,,,,0,72,0,72,0,1187,0,1187,,65,,65,,0,,0,,,,,,,,,0,29125,0,29125,,,,,,,,,,,,0,,,,0,0,0,0,0,0,7166,0,7166,0,0,0,0,0,-7166,0,-7166,0,21959,0,21959,0,2913,0,2913,0,19047,0,19047,,1007,,1007,,5,,5,,2662,,2662,,3674,,3674,,19,,19,0,1417,0,1417,0,14963,0,14963,,,,,,,0,0,15,,,,,88200,0,107246,0,0,,0,,0,,,,,,,,107246,0
440,MEGHALAYA,WEST JAINTIA HILLS,,0,2320,0,2320,0,79186,0,79186,98714,177900,0,11075,0,11075,,,,,0,60,0,60,0,0,0,0,,29,,29,,0,,0,,,,,,,,,0,11163,0,11163,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11163,0,11163,0,1116,0,1116,0,10047,0,10047,,608,,608,,3,,3,,0,,0,,611,,611,,6,,6,0,953,0,953,0,9091,0,9091,,,,,,,0,0,30,,,,,13664,0,23711,0,0,,0,,0,,,,,,,,23711,0
441,MEGHALAYA,WEST KHASI HILLS,,0,4062,0,4062,0,123970,0,123970,266630,390600,0,31887,0,31887,,,,,0,2044,0,2044,0,0,0,0,,34,,34,,0,,0,,,,,,,,,0,33965,0,33965,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33965,0,33965,0,3397,0,3397,0,30569,0,30569,,463,,463,,0,,0,,0,,0,,463,,463,,2,,2,0,674,0,674,0,29895,0,29895,,,,,,,0,0,16,,,,,18306,0,48875,0,0,,0,,0,,,,,,,,48875,0
442,MIZORAM,AIZAWL,,0,2204,0,2204,0,21734,0,21734,335866,357600,0,1523,0,1523,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,1523,0,1523,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1523,0,1523,0,152,0,152,0,1371,0,1371,,201,,201,,0,,0,,0,,0,,201,,201,,15,,15,0,210,0,210,0,1161,0,1161,,,,,,,0,0,0,,,,,0,0,1371,0,0,,0,,0,,,,,,,,1371,0
443,MIZORAM,CHAMPHAI,,0,1728,0,1728,0,28673,0,28673,289827,318500,0,1582,0,1582,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,1582,0,1582,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1582,0,1582,0,158,0,158,0,1424,0,1424,,45,,45,,0,,0,,0,,0,,45,,45,,3,,3,0,46,0,46,0,1378,0,1378,,,,,,,0,0,0,,,,,0,0,1424,0,0,,0,,0,,,,,,,,1424,0
444,MIZORAM,KOLASIB,,0,2205,0,2205,0,39515,0,39515,98685,138200,0,2776,0,2776,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,2776,0,2776,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2776,0,2776,0,278,0,278,0,2499,0,2499,,32,,32,,0,,0,,0,,0,,32,,32,,1,,1,0,33,0,33,0,2465,0,2465,,,,,,,0,0,0,,,,,0,0,2499,0,0,,0,,0,,,,,,,,2499,0
445,MIZORAM,LAWNGTLAI,,0,2022,0,2022,0,52075,0,52075,203625,255700,0,3377,0,3377,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,3377,0,3377,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3377,0,3377,0,338,0,338,0,3040,0,3040,,104,,104,,0,,0,,0,,0,,104,,104,,3,,3,0,113,0,113,0,2926,0,2926,,,,,,,0,0,0,,,,,0,0,3040,0,0,,0,,0,,,,,,,,3040,0
446,MIZORAM,LUNGLEI,,0,2092,0,2092,0,74487,0,74487,381213,455700,0,4941,0,4941,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,4941,0,4941,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4941,0,4941,0,494,0,494,0,4447,0,4447,,191,,191,,0,,0,,0,,0,,191,,191,,4,,4,0,195,0,195,0,4252,0,4252,,,,,,,0,0,0,,,,,0,0,4447,0,0,,0,,0,,,,,,,,4447,0
447,MIZORAM,MAMIT,,0,2242,0,2242,0,71631,0,71631,228769,300400,0,5176,0,5176,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,5176,0,5176,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5176,0,5176,0,518,0,518,0,4659,0,4659,,103,,103,,0,,0,,0,,0,,103,,103,,2,,2,0,113,0,113,0,4546,0,4546,,,,,,,0,0,0,,,,,0,0,4659,0,0,,0,,0,,,,,,,,4659,0
448,MIZORAM,SAIHA,,0,2262,0,2262,0,10660,0,10660,129240,139900,0,773,0,773,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,773,0,773,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,773,0,773,0,77,0,77,0,695,0,695,,40,,40,,0,,0,,0,,0,,40,,40,,6,,6,0,42,0,42,0,654,0,654,,,,,,,0,0,0,,,,,0,0,695,0,0,,0,,0,,,,,,,,695,0
449,MIZORAM,SERCHHIP,,0,1747,0,1747,0,16166,0,16166,125934,142100,0,912,0,912,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,912,0,912,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,912,0,912,0,91,0,91,0,820,0,820,,48,,48,,0,,0,,0,,0,,48,,48,,6,,6,0,50,0,50,0,771,0,771,,,,,,,0,0,0,,,,,0,0,820,0,0,,0,,0,,,,,,,,820,0
450,NAGALAND,Dimapur,,0,1745,0,1745,0,63046,0,63046,29654,92700,0,20582,0,20582,0,,0,0,0,1968,0,1968,0,181,0,181,0,0,0,0,,4,,4,,,,,,,,,0,22735,0,22735,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,26,0,0,0,0,0,-26,0,-26,0,22709,0,22709,0,1711,0,1711,0,20998,0,20998,,823,,823,,3,,3,,583,,583,,1409,,1409,,7,,7,0,1078,0,1078,0,19334,0,19334,,,,,,,0,0,0,,,,,197281,0,218279,0,0,,0,,0,,,,,,,,218279,0
451,NAGALAND,Kiphire,,0,1074,0,1074,0,3576,0,3576,109424,113000,0,191,0,191,0,,0,0,0,389,0,389,0,0,0,0,0,0,0,0,,1,,1,,,,,,,,,0,580,0,580,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580,0,580,0,58,0,58,0,522,0,522,,9,,9,,0,,0,,0,,0,,9,,9,,2,,2,0,9,0,9,0,513,0,513,,,,,,,0,0,0,,,,,0,0,522,0,0,,0,,0,,,,,,,,522,0
452,NAGALAND,Kohima,,0,1779,0,1779,0,28264,0,28264,118036,146300,0,2434,0,2434,0,,0,0,0,636,0,636,0,0,0,0,0,0,0,0,,11,,11,,,,,,,,,0,3081,0,3081,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3081,0,3081,0,308,0,308,0,2773,0,2773,,216,,216,,0,,0,,0,,0,,216,,216,,8,,8,0,279,0,279,0,2494,0,2494,,,,,,,0,0,0,,,,,0,0,2773,0,0,,0,,0,,,,,,,,2773,0
453,NAGALAND,Longleng,,0,1880,0,1880,0,12890,0,12890,43310,56200,0,1244,0,1244,0,,0,0,0,300,0,300,0,0,0,0,0,0,0,0,,0,,0,,,,,,,,,0,1544,0,1544,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1544,0,1544,0,154,0,154,0,1390,0,1390,,7,,7,,0,,0,,0,,0,,7,,7,,0,,0,0,9,0,9,0,1381,0,1381,,,,,,,0,0,0,,,,,0,0,1390,0,0,,0,,0,,,,,,,,1390,0
454,NAGALAND,Mokokchung,,0,2080,0,2080,0,55043,0,55043,106457,161500,0,5516,0,5516,0,,0,0,0,719,0,719,0,9,0,9,0,0,0,0,,1,,1,,,,,,,,,0,6245,0,6245,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6245,0,6245,0,625,0,625,0,5620,0,5620,,62,,62,,0,,0,,33,,33,,95,,95,,2,,2,0,62,0,62,0,5525,0,5525,,,,,,,0,0,0,,,,,0,0,5620,0,0,,0,,0,,,,,,,,5620,0
455,NAGALAND,Mon,,0,1469,0,1469,0,61512,0,61512,117088,178600,0,3981,0,3981,0,,0,0,0,447,0,447,0,2,0,2,0,0,0,0,,1,,1,,,,,,,,,0,4430,0,4430,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4430,0,4430,0,443,0,443,0,3987,0,3987,,139,,139,,0,,0,,7,,7,,147,,147,,4,,4,0,139,0,139,0,3841,0,3841,,,,,,,0,0,0,,,,,0,0,3987,0,0,,0,,0,,,,,,,,3987,0
456,NAGALAND,Peren,,0,1394,0,1394,0,63838,0,63838,101262,165100,0,4213,0,4213,0,,0,0,0,261,0,261,0,29,0,29,0,0,0,0,,0,,0,,,,,,,,,0,4504,0,4504,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4504,0,4504,0,450,0,450,0,4053,0,4053,,79,,79,,0,,0,,92,,92,,171,,171,,4,,4,0,83,0,83,0,3877,0,3877,,,,,,,0,0,0,,,,,0,0,4053,0,0,,0,,0,,,,,,,,4053,0
457,NAGALAND,Phek,,0,1295,0,1295,0,11309,0,11309,191291,202600,0,711,0,711,0,,0,0,0,468,0,468,0,0,0,0,0,0,0,0,,2,,2,,,,,,,,,0,1181,0,1181,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1181,0,1181,0,118,0,118,0,1063,0,1063,,38,,38,,0,,0,,0,,0,,38,,38,,4,,4,0,42,0,42,0,1021,0,1021,,,,,,,0,0,0,,,,,0,0,1063,0,0,,0,,0,,,,,,,,1063,0
458,NAGALAND,Tuensang,,0,2080,0,2080,0,10123,0,10123,243477,253600,0,1070,0,1070,0,,0,0,0,383,0,383,0,0,0,0,0,0,0,0,,0,,0,,,,,,,,,0,1454,0,1454,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1454,0,1454,0,145,0,145,0,1308,0,1308,,47,,47,,0,,0,,0,,0,,47,,47,,4,,4,0,50,0,50,0,1258,0,1258,,,,,,,0,0,0,,,,,0,0,1308,0,0,,0,,0,,,,,,,,1308,0
459,NAGALAND,Wokha,,0,2167,0,2167,0,66921,0,66921,95879,162800,0,7240,0,7240,0,,0,0,0,390,0,390,0,3,0,3,0,0,0,0,,0,,0,,,,,,,,,0,7634,0,7634,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7634,0,7634,0,763,0,763,0,6870,0,6870,,169,,169,,1,,1,,9,,9,,178,,178,,3,,3,0,175,0,175,0,6686,0,6686,,,,,,,0,0,0,,,,,0,0,6870,0,0,,0,,0,,,,,,,,6870,0
460,NAGALAND,Zunheboto,,0,2080,0,2080,0,8985,0,8985,116515,125500,0,949,0,949,0,,0,0,0,947,0,947,0,0,0,0,0,0,0,0,,0,,0,,,,,,,,,0,1896,0,1896,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1896,0,1896,0,190,0,190,0,1706,0,1706,,58,,58,,1,,1,,0,,0,,59,,59,,3,,3,0,58,0,58,0,1647,0,1647,,,,,,,0,0,0,,,,,0,0,1706,0,0,,0,,0,,,,,,,,1706,0
461,ODISHA,ANGUL,,1120,1296,0,1291,14443,494142,0,508585,130761,639346,1035,41713,0,42748,356,,0,356,2563,0,0,2563,525,5579,0,6104,63,6442,0,6505,6,75,0,82,,,,,,,,,4550,53809,0,58358,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4550,53809,0,58358,455,3239,0,3694,4095,50570,0,54664,119,4485,,4605,71,1229,,1299,2078,21754,,23832,2268,27468,,29736,55,54,,54,130,6233,0,6362,1818,21354,0,23173,,,,,,,0,0,0,,,,,0,0,54664,0,0,,0,,0,,,,,,,,54664,0
462,ODISHA,BALASORE,,1752,1702,1760,1715,23826,273272,59379,356477,25584,382061,6095,68303,16800,91199,1476,,0,1476,9398,0,0,9398,1922,28446,0,30368,2085,24582,5933,32600,5,768,17,790,,,,,,,,,20981,122099,22750,165830,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20981,122099,22750,165830,2098,8818,1613,12529,18883,113281,21137,153301,616,5965,1192,7774,11,1160,0,1171,4295,66765,0,71060,4922,73890,1192,80005,26,65,6,60,737,7092,1372,7829,13863,38265,19765,52127,,,,,,,0,0,0,,,,,0,0,132164,21137,0,,0,,0,,,,,,,,132164,21137
463,ODISHA,BARGARH,,1228,1262,0,1259,39279,485898,0,525177,59368,584545,3075,37244,0,40319,3198,,0,3198,1931,0,0,1931,517,9183,0,9701,558,3290,0,3847,92,7610,0,7702,,,,,,,,,9370,57327,0,66697,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9370,57327,0,66697,937,3462,0,4399,8433,53865,0,62298,536,3872,,4408,0,455,,455,1669,28451,,30120,2205,32778,,34983,26,61,,56,564,4426,0,4990,6200,20965,0,27165,,,,,,,0,0,0,,,,,0,0,62298,0,0,,0,,0,,,,,,,,62298,0
464,ODISHA,BHADRAK,,1421,1540,1559,1512,79363,53236,119637,252236,0,252236,12656,9721,21208,43585,12552,,0,12552,4463,0,0,4463,7716,3704,966,12386,6724,2110,12722,21555,71,36,19,127,,,,,,,,,44181,15572,34915,94668,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44181,15572,34915,94668,3797,1557,3491,8845,40385,14015,31423,85823,1972,840,1714,4526,73,349,0,422,20006,9902,2523,32430,22051,11091,4237,37379,55,79,13,61,2386,938,1985,3324,17920,2826,26916,20745,,,,,,,0,0,0,,,,,0,0,54399,31423,0,,0,,0,,,,,,,,54399,31423
465,ODISHA,BOLANGIR,,1364,1225,0,1227,6599,623178,0,629777,26419,656196,555,44799,0,45353,322,,0,322,688,0,0,688,196,6497,0,6693,14,2718,0,2732,132,5240,0,5372,,,,,,,,,1907,59254,0,61161,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1907,59254,0,61161,191,4557,0,4747,1716,54697,0,56413,58,5771,,5829,62,307,,369,720,22543,,23263,841,28621,,29462,49,52,,52,83,8224,0,8307,873,23623,0,24496,,,,,,,0,0,0,,,,,0,0,56413,0,0,,0,,0,,,,,,,,56413,0
466,ODISHA,BOUDH,,1225,1336,0,1312,46716,167382,0,214098,96900,310998,3690,14466,0,18156,865,,0,865,2025,0,0,2025,436,2885,0,3320,324,855,0,1179,12,70,0,81,,,,,,,,,7352,18275,0,25627,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7352,18275,0,25627,735,1379,0,2114,6617,16897,0,23513,414,1058,,1472,44,29,,73,1412,7954,,9366,1870,9040,,10911,28,54,,46,503,1312,0,1815,4657,7602,0,12259,,,,,,,0,0,0,,,,,0,0,23513,0,0,,0,,0,,,,,,,,23513,0
467,ODISHA,CUTTACK,,1538,1587,0,1578,62005,278064,0,340069,32790,372859,14958,33926,0,48884,3996,,0,3996,6174,0,0,6174,2132,4037,0,6169,745,10965,0,11710,7,258,0,265,,,,,,,,,28013,49185,0,77199,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28013,49185,0,77199,2801,4435,0,7236,25212,44750,0,69962,1491,5749,,7240,329,723,,1052,9245,15592,,24837,11065,22064,,33129,44,49,,47,1690,6789,0,8479,13948,21646,0,35594,,,,,,,0,0,0,,,,,0,0,69962,0,0,,0,,0,,,,,,,,69962,0
468,ODISHA,DEOGARH,,1315,1318,0,1318,20573,197956,0,218529,77735,296264,2164,19125,0,21288,528,,0,528,6744,0,0,6744,0,4240,0,4240,27,172,0,199,7,185,0,193,,,,,,,,,9470,23722,0,33192,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9470,23722,0,33192,947,2372,0,3319,8523,21350,0,29873,56,934,,990,285,57,,343,2113,13962,,16075,2455,14953,,17408,29,70,,58,66,1093,0,1159,6059,6237,0,12296,,,,,,,0,0,0,,,,,0,0,29873,0,0,,0,,0,,,,,,,,29873,0
469,ODISHA,DHENKANAL,,1408,1433,0,1428,79290,318585,0,397875,49706,447581,6424,27760,0,34184,2083,,0,2083,4762,0,0,4762,842,2387,0,3229,757,2986,0,3744,21,72,0,92,,,,,,,,,14888,33205,0,48093,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14888,33205,0,48093,1347,2160,0,3508,13541,31045,0,44586,838,2998,,3836,62,369,,431,2998,9942,,12939,3898,13308,,17207,29,43,,39,932,3420,0,4352,9549,17314,0,26863,,,,,,,0,0,0,,,,,0,0,44586,0,0,,0,,0,,,,,,,,44586,0
470,ODISHA,GAJAPATI,,1182,1389,0,1380,6500,135958,0,142458,290763,433221,615,17072,0,17687,215,,0,215,1162,0,0,1162,265,1625,0,1890,107,928,0,1035,18,235,0,252,,,,,,,,,2382,19860,0,22241,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2382,19860,0,22241,238,1873,0,2111,2143,17987,0,20131,214,1530,,1744,31,148,,179,704,4722,,5426,948,6400,,7348,44,36,,37,229,1730,0,1959,1180,11387,0,12567,,,,,,,0,0,0,,,,,0,0,20131,0,0,,0,,0,,,,,,,,20131,0
471,ODISHA,GANJAM,,1280,1304,1208,1296,123400,466320,20700,610420,213017,823437,13228,47318,2060,62605,6613,,0,6613,16967,0,0,16968,4084,7055,0,11139,1838,6240,455,8532,57,794,0,851,,,,,,,,,42787,61407,2514,106708,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42787,61407,2514,106708,4279,4930,236,9445,38508,56476,2278,97263,4327,7166,252,11745,866,1207,0,2073,10302,18545,0,28847,15496,26918,252,42665,40,48,11,45,6553,8468,269,15021,21458,28413,2009,49872,,,,,,,0,0,0,,,,,0,0,94984,2278,0,,0,,0,,,,,,,,94984,2278
472,ODISHA,JAGATSINGHPUR,,1400,1437,1598,1475,54718,76304,57966,188988,0,188988,9191,12044,10270,31506,7242,,2732,9974,7535,0,737,8272,3507,3405,511,7423,1979,5787,509,8275,0,224,0,224,,,,,,,,,29456,21459,14759,65673,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29456,21459,14759,65673,2946,1871,1476,6292,26510,19588,13283,59381,1228,1211,750,3190,168,513,230,911,12241,11756,1715,25711,13637,13480,2695,29811,51,69,20,59,1314,1309,825,2622,12788,6011,10513,18799,,,,,,,0,0,0,,,,,0,0,46098,13283,0,,0,,0,,,,,,,,46098,13283
473,ODISHA,JAJPUR,,1526,1660,1615,1645,24000,222846,19367,266213,20246,286459,3851,34625,3804,42280,2978,,0,2978,3249,0,0,3249,1874,6816,334,9024,271,3025,227,3523,9,100,0,110,,,,,,,,,12232,44566,4365,61163,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12232,44566,4365,61163,1128,3117,267,4512,11104,41449,4098,56651,749,4173,490,5413,73,594,57,725,5976,22891,1061,29928,6798,27659,1609,36066,61,67,39,66,831,4773,527,5603,4225,13191,2452,17415,,,,,,,0,0,0,,,,,0,0,52553,4098,0,,0,,0,,,,,,,,52553,4098
474,ODISHA,JHARSUGUDA,,0,1314,0,1314,0,211842,0,211842,385,212227,0,16977,0,16977,0,,0,0,0,0,0,0,0,1752,0,1752,0,1068,0,1068,0,837,0,837,,,,,,,,,0,20635,0,20635,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20635,0,20635,0,1541,0,1541,0,19094,0,19094,,2555,,2555,,1098,,1098,,6375,,6375,,10029,,10029,,53,,53,0,3502,0,3502,0,8119,0,8119,,,,,,,0,0,0,,,,,0,0,19094,0,0,,0,,0,,,,,,,,19094,0
475,ODISHA,KALAHANDI,,1416,1493,0,1480,97301,460836,0,558137,233298,791435,8936,37985,0,46921,3616,,0,3616,7499,0,0,7499,1005,4432,0,5437,1160,2234,2,3396,2,311,0,314,,,,,,,,,22217,44962,2,67181,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22217,44962,2,67181,2222,3147,0,5369,19996,41815,1,61812,1195,3973,,5167,192,701,,893,3515,18336,,21850,4901,23009,,27910,25,55,,45,1462,4892,0,6354,14827,17887,1,32714,,,,,,,0,0,0,,,,,0,0,61811,1,0,,0,,0,,,,,,,,61811,1
476,ODISHA,KANDHAMAL,,1338,1651,0,1649,2973,444398,0,447371,356636,804007,191,30912,0,31103,176,,0,176,1057,0,0,1057,185,2708,0,2893,4,452,1,457,7,1150,0,1157,,,,,,,,,1619,35221,1,36841,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1619,35221,1,36841,162,2760,0,2922,1457,32461,1,33919,11,2344,,2355,9,221,,230,550,7937,,8487,570,10502,,11072,39,32,,33,12,2676,0,2688,886,21627,1,22513,,,,,,,0,0,0,,,,,0,0,33918,1,0,,0,,0,,,,,,,,33918,1
477,ODISHA,KENDRAPARA,,1567,1633,1525,1540,17287,24455,184602,226344,0,226344,2917,5700,31434,40051,1931,,1863,3795,4660,0,10157,14817,1494,1031,470,2995,68,89,768,925,0,0,0,0,,,,,,,,,11070,6820,44692,62583,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11070,6820,44692,62583,1107,341,3898,5346,9963,6479,40795,57237,700,495,3134,4329,71,133,261,464,5397,3834,1743,10974,6168,4462,5137,15767,62,69,13,65,798,561,3543,1359,3697,1951,35249,5649,,,,,,,0,0,0,,,,,0,0,16442,40795,0,,0,,0,,,,,,,,16442,40795
